Month-Year,Sales Revenue (₹),Service Fees (₹),Rent (₹),Utilities (₹),Salaries & Wages (₹),Raw Materials / Inventory (₹),Transportation / Logistics (₹),Loan Repayments & Interest (₹),Number of Orders,Customers,Average Order Value,Seasonality_Flag,Fuel Price Index,Total Income (₹),Total Expenses (₹),Net Cash Flow (₹)
2020-09,396651,26745,46560,14012,133864,220733,14753,21867,1898,2138,204.38,1,130.65,423396,451789,-28393
2020-10,189051,30296,24836,12377,85851,146500,5660,37859,2297,2909,107.0,1,141.01,219347,313083,-93736
2020-11,337869,12874,44544,6311,196203,144377,8323,24831,2283,2138,145.93,0,112.77,350743,424589,-73846
2020-12,332821,16227,29733,10633,143936,119606,8875,19936,2362,3037,150.69,1,84.47,349048,332719,16329
2021-01,256792,35130,44403,8345,103105,132862,7030,19390,4148,1562,50.1,0,149.53,291922,315135,-23213
2021-02,266586,14577,32149,12515,155283,111885,5568,8982,1247,312,227.37,0,145.45,281163,326382,-45219
2021-03,336837,39004,43272,5990,146138,111292,17338,37400,3981,3823,61.28,1,119.08,375841,361430,14411
2021-04,447997,21121,48670,5373,103058,121654,28553,25180,3791,964,30.43,1,120.11,469118,332488,136630
2021-05,152250,43454,24082,8418,161962,206897,11652,13683,2927,3996,53.66,0,128.77,195704,426694,-230990
2021-06,230480,15508,46890,14639,123775,174991,6246,15657,3178,2684,123.69,0,89.23,245988,382198,-136210
2021-07,414635,37816,34276,9617,105732,168943,9923,22215,1786,3675,286.38,0,126.25,452451,350706,101745
2021-08,459916,15535,45571,5891,148322,87860,18225,30916,790,2112,602.61,1,101.77,475451,336785,138666
2021-09,314001,42092,32495,10059,123222,206152,17986,16757,3129,3389,84.84,1,97.06,356093,406671,-50578
2021-10,263985,30540,47127,11865,114273,130177,13584,21919,1354,2894,152.83,1,83.77,294525,338945,-44420
2021-11,209780,35791,32404,10677,191066,182846,10660,31693,528,565,451.69,0,148.68,245571,459346,-213775
2021-12,178111,25176,24377,13510,136450,230102,16562,26875,1942,3483,91.31,1,141.03,203287,447876,-244589
2022-01,167252,14340,28017,10450,192313,190375,5536,21449,4452,2305,43.86,0,80.32,181592,448140,-266548
2022-02,416724,29684,27481,9648,148576,129984,13668,25095,4629,985,43.35,0,116.49,446408,354452,91956
2022-03,450083,33593,40197,6392,91283,116483,21344,27760,904,729,559.82,1,147.54,483676,303459,180217
2022-04,254117,32348,39020,14118,103278,203407,17286,14317,2352,2621,87.22,1,80.28,286465,391426,-104961
2022-05,344188,23737,41918,5414,157885,101976,23280,29838,707,2843,494.86,0,148.43,367925,360311,7614
2022-06,411539,10826,27114,13537,171214,204276,18396,37273,754,3452,647.1,0,135.61,422365,471810,-49445
2022-07,460214,14335,32999,7824,86702,135098,28511,9128,4241,446,62.44,0,147.9,474549,300262,174287
2022-08,366200,25626,44013,10349,117185,101545,6738,8201,2500,545,212.83,1,136.69,391826,288031,103795
2022-09,101299,28742,26144,12971,88877,189326,11169,15271,2135,3459,117.49,1,101.22,130041,343758,-213717
2022-10,164951,15027,49145,10768,150704,103535,6430,16723,4744,3074,-20.32,1,90.15,179978,337305,-157327
2022-11,145338,47845,49514,14176,106900,76960,17659,24957,3967,1071,32.54,0,105.06,193183,290166,-96983
2022-12,349754,39890,26269,5952,153899,114594,15707,14781,3753,1291,226.06,1,144.3,389644,331202,58442
2023-01,166090,29738,47422,7158,84336,93923,25923,38138,1778,2656,47.99,0,98.09,195828,296900,-101072
2023-02,439158,24423,21432,10230,109586,111507,13649,7185,3219,1543,206.37,0,114.35,463581,273589,189992
2023-03,374753,33373,40351,5744,115394,174604,20398,9372,1963,3927,173.85,1,148.8,408126,365863,42263
2023-04,251952,21084,31712,13245,153934,92155,14166,36800,2429,1246,44.77,1,117.83,273036,342012,-68976
2023-05,306579,23057,25040,12899,94233,124191,16667,9372,1795,805,181.27,0,104.14,329636,282402,47234
2023-06,358228,29871,34976,9221,130621,143082,22259,32223,2316,1225,236.99,0,122.77,388099,372382,15717
2023-07,368140,36897,29453,10694,85097,171997,8555,38119,2625,949,98.84,0,113.89,405037,343915,61122
2023-08,392136,29525,30378,9291,175823,244310,6040,9469,3757,720,126.37,1,116.26,421661,475311,-53650
2023-09,250248,33931,40719,6161,85378,221599,8309,9757,4898,3985,15.12,1,136.69,284179,371923,-87744
2023-10,416460,30755,31944,8317,150987,202746,23058,18468,1218,390,384.27,1,132.87,447215,435520,11695
2023-11,193480,20047,42739,10560,85062,176996,21194,21061,1535,3839,189.86,0,103.34,213527,357612,-144085
2023-12,186945,48599,35862,7864,135561,74577,29063,31630,609,2229,285.75,1,136.14,235544,314557,-79013
2024-01,316970,35231,47121,8204,83292,74447,18982,26558,3233,1706,141.34,0,121.36,352201,258604,93597
2024-02,424951,36559,44171,13309,164988,230526,12923,38175,3527,3814,43.09,0,81.72,461510,504092,-42582
2024-03,253019,22657,43986,5607,108222,147452,23653,21164,3346,3720,37.92,1,143.39,275676,350084,-74408
2024-04,278864,24439,34558,12598,149458,165958,18905,10935,1285,3905,166.23,1,121.29,303303,392412,-89109
2024-05,458630,44028,43558,10661,178755,176075,25083,12712,2046,716,191.6,0,93.0,502658,446844,55814
2024-06,165892,30442,37160,6934,192747,167938,5563,14450,1031,898,177.59,0,144.99,196334,424792,-228458
2024-07,143774,11653,36239,8638,193528,97960,6197,8500,3877,1071,41.28,0,140.44,155427,351062,-195635
2024-08,199718,15275,23031,13538,120177,195408,15400,26436,3055,1331,55.82,1,99.62,214993,393990,-178997
2024-09,223264,13854,45295,14459,92833,142870,13126,38067,681,1518,348.34,1,113.63,237118,346650,-109532
2024-10,448680,14274,36033,5629,81476,191554,23455,19488,4370,1108,81.42,1,101.05,462954,357635,105319
2024-11,131027,43596,43958,9423,90319,139616,22192,21220,3429,1779,45.5,0,106.02,174623,326728,-152105
2024-12,150767,24948,21507,12939,93247,119744,6832,31293,775,2992,128.74,1,92.14,175715,285562,-109847
2025-01,238058,23228,45529,14818,116772,247196,23330,7435,2581,1289,196.91,0,141.92,261286,455080,-193794
2025-02,120285,27859,23278,9723,191505,217132,14254,25718,1211,3313,93.01,0,134.81,148144,481610,-333466
2025-03,488854,27578,43661,6674,94327,77839,22028,21964,2867,3423,196.35,1,92.15,516432,266493,249939
2025-04,183796,16690,42413,9647,150226,214962,13916,5165,2581,3157,147.05,1,121.62,200486,436329,-235843
2025-05,442835,31349,37753,12215,138373,78129,25439,33158,4550,2167,106.72,0,98.92,474184,325067,149117
2025-06,456422,34637,42498,7447,198003,173431,7858,31148,1798,2835,250.3,0,115.17,491059,460385,30674
2025-07,125345,20333,33717,12798,134347,228845,25141,30175,3638,2337,-47.41,0,115.36,145678,465023,-319345
2025-08,148043,24986,43735,5171,138202,160563,8765,28052,3549,1478,56.54,1,91.52,173029,384488,-211459
2025-09,288655,21825,40978,9577,181515,106575,14566,17359,4819,498,56.0,1,84.41,310480,370570,-60090
2025-10,249782,24211,25684,13384,105864,237512,5008,7662,4999,2579,80.0,1,102.41,273993,395114,-121121
2025-11,357564,49231,27750,6906,198053,217716,17929,31838,4672,3079,60.86,0,114.38,406795,500192,-93397
2025-12,351918,47872,33318,13260,93883,175162,14207,14955,4845,2807,99.46,1,101.47,399790,344785,55005
2026-01,200170,41564,45245,5829,129574,238351,14029,22870,3392,2697,73.47,0,104.57,241734,455898,-214164
2026-02,459121,48408,30770,6165,173756,199068,16055,39341,1617,1288,238.14,0,80.02,507529,465155,42374
2026-03,396360,10151,39686,10554,146163,148337,10224,13216,4900,861,98.36,1,95.45,406511,368180,38331
2026-04,243507,13901,33114,6687,164182,175246,17563,35650,616,2890,357.69,1,80.05,257408,432442,-175034
2026-05,485242,49072,24795,11830,157432,216299,25219,13451,2861,3787,186.72,0,121.17,534314,449026,85288
2026-06,113126,40831,30783,7795,121862,71706,22773,33220,4814,2595,-5.0,0,111.1,153957,288139,-134182
2026-07,336576,31741,37189,9604,132545,74839,14558,33275,3900,2194,150.97,0,101.22,368317,302010,66307
2026-08,453236,40738,46100,8543,169488,130028,19262,25475,3743,2014,85.18,1,97.75,493974,398896,95078
2026-09,290766,18457,25046,13822,197188,228182,24491,11006,4875,3416,25.15,1,115.06,309223,499735,-190512
2026-10,314953,24451,25047,5629,139977,236439,20846,35814,4385,1304,132.95,1,91.14,339404,463752,-124348
2026-11,428274,47187,31873,9766,190759,211763,28640,33028,1496,3863,244.83,0,112.15,475461,505829,-30368
2026-12,443519,38724,48356,12934,167203,117961,21156,25203,4196,2828,86.85,1,110.33,482243,392813,89430
2027-01,234019,32487,37478,9461,149247,157765,10676,20294,2056,3020,85.41,0,145.39,266506,384921,-118415
2027-02,434387,21479,48281,6570,197800,150134,6326,23993,4471,2788,168.96,0,96.96,455866,433104,22762
2027-03,360157,13104,24585,10490,93837,133679,9586,5859,550,1224,694.63,1,96.49,373261,278036,95225
2027-04,209180,35132,39525,7747,94931,231068,12622,21753,4056,2039,57.3,1,125.71,244312,407646,-163334
2027-05,229337,17465,46470,14276,109898,155075,10228,34812,1645,1963,60.38,0,141.22,246802,370759,-123957
2027-06,385028,14951,39373,13367,167206,82578,15409,39951,2005,1642,147.59,0,127.9,399979,357884,42095
2027-07,283675,12262,33298,13452,183714,177553,26682,21363,2425,2416,119.89,0,142.28,295937,456062,-160125
2027-08,357370,35724,29488,14530,134118,215789,14604,35468,806,525,476.64,1,148.71,393094,443997,-50903
2027-09,384775,43502,23380,11660,167400,70456,5816,33309,1906,2343,242.78,1,84.58,428277,312021,116256
2027-10,256233,15439,30900,8069,176669,193161,8949,8541,678,3828,382.86,1,80.64,271672,426289,-154617
2027-11,391766,16800,28719,13958,92596,155028,10572,5156,3525,3652,91.99,0,117.62,408566,306029,102537
2027-12,319740,32750,20446,5965,195463,195847,17016,11878,867,1886,359.28,1,117.38,352490,446615,-94125
2028-01,322127,16292,42488,8612,170320,200295,20725,34775,3880,394,41.94,0,117.44,338419,477215,-138796
2028-02,477763,49511,41840,7421,100772,53710,9582,39559,2626,2504,256.21,0,132.95,527274,252884,274390
2028-03,422326,49217,20480,5674,173366,84639,10858,24989,1910,3987,243.84,1,81.39,471543,320006,151537
2028-04,127196,29560,21926,9027,168118,126960,17153,30652,3882,692,-48.12,1,139.17,156756,373836,-217080
2028-05,105263,23481,24173,13390,196591,142219,20180,14536,3394,3978,45.42,0,132.44,128744,411089,-282345
2028-06,181940,49546,31663,8367,134494,218863,11226,9481,758,2999,297.87,0,134.72,231486,414094,-182608
2028-07,373829,48585,31552,6417,94459,186823,20949,19393,4776,1257,83.05,0,122.95,422414,359593,62821
2028-08,290986,39251,46655,10750,115467,246450,23697,14951,4742,1418,79.94,1,142.72,330237,457970,-127733
2028-09,352866,41220,40252,11294,148948,188703,29532,39485,4362,818,102.77,1,134.02,394086,458214,-64128
2028-10,345194,45290,36830,11190,193345,71223,27544,9680,908,1945,376.18,1,124.62,390484,349812,40672
2028-11,283452,29989,31185,13483,190914,202239,14887,27693,1251,1988,230.64,0,142.61,313441,480401,-166960
2028-12,429015,39418,20859,6291,146194,77646,26494,7344,2469,1160,148.43,1,95.76,468433,284828,183605
2029-01,175769,32978,45421,8883,104546,198880,29266,19961,2630,687,22.17,0,128.83,208747,406957,-198210
2029-02,464912,29514,48036,5007,170837,94404,8399,37497,951,2797,501.9,0,130.53,494426,364180,130246
2029-03,339729,44841,24402,11735,189675,216525,10158,31713,3730,1704,148.71,1,149.98,384570,484208,-99638
2029-04,194447,17160,27418,8852,140597,149225,18001,29282,1557,2576,10.15,1,100.66,211607,373375,-161768
2029-05,123132,24198,25042,12102,188319,52439,17659,8337,2001,2889,108.36,0,94.35,147330,303898,-156568
2029-06,455989,46861,27952,9581,153439,121058,25333,11991,1550,1616,278.14,0,103.12,502850,349354,153496
2029-07,116772,28693,45172,13892,183111,101239,29734,9954,1823,3141,30.47,0,138.57,145465,383102,-237637
2029-08,488974,38233,26062,12339,138846,223533,15185,26391,1784,3883,221.99,1,132.44,527207,442356,84851
2029-09,350782,47393,39954,5641,101179,247969,19934,12203,775,1773,466.75,1,138.24,398175,426880,-28705
2029-10,277877,23800,39183,13464,157008,186329,13567,31505,1724,1467,36.98,1,89.09,301677,441056,-139379
2029-11,292788,19600,32342,5723,161600,66560,16284,7949,3810,2843,39.56,0,130.88,312388,290458,21930
2029-12,411062,17687,46198,5169,195895,102758,13788,36573,4873,2502,147.6,1,136.14,428749,400381,28368
2030-01,386148,49516,20496,12073,168312,124011,6855,32507,2913,3256,173.77,0,123.86,435664,364254,71410
2030-02,437110,48910,21385,10641,190071,63914,27983,7375,2245,1402,244.77,0,126.92,486020,321369,164651
2030-03,130825,33853,28626,13751,123918,120641,22433,21837,969,1512,157.12,1,138.29,164678,331206,-166528
2030-04,166437,29134,27984,12237,158895,238697,16276,8499,4005,3849,21.82,1,135.48,195571,462588,-267017
2030-05,105273,36000,45015,8418,160208,68368,12131,9814,3095,2845,81.01,0,122.25,141273,303954,-162681
2030-06,144237,30116,21156,10114,176715,110180,25099,14689,1722,559,35.34,0,144.61,174353,357953,-183600
2030-07,150363,25933,49301,10535,97224,128007,16287,34165,4256,446,-3.64,0,89.79,176296,335519,-159223
2030-08,289355,41911,33296,14661,99020,130146,26785,15250,4876,1670,69.7,1,124.67,331266,319158,12108
2030-09,277254,15115,28301,6845,177844,175576,6518,16590,4721,2053,28.79,1,137.7,292369,411674,-119305
2030-10,156150,46565,34282,12846,134279,93803,18793,32720,1995,3941,98.0,1,97.4,202715,326723,-124008
2030-11,372844,39947,42285,9987,99654,125324,5215,38818,4526,385,45.88,0,122.27,412791,321283,91508
