Month-Year,Sales Revenue (₹),Service Fees (₹),Rent (₹),Utilities (₹),Salaries & Wages (₹),Raw Materials / Inventory (₹),Transportation / Logistics (₹),Loan Repayments & Interest (₹),Number of Orders,Customers,Average Order Value,Seasonality_Flag,Fuel Price Index,Total Income (₹),Total Expenses (₹),Net Cash Flow (₹)
2012-06,112561,44224,34177,9173,85431,159990,7461,19156,1284,2971,86.59,0,144.25,156785,315388,-158603
2012-07,202393,32852,25882,10245,124828,194659,5154,22144,4143,2546,40.1,0,109.43,235245,382912,-147667
2012-08,105663,15740,30038,13702,119069,151774,28151,38197,1587,2928,152.66,1,146.41,121403,380931,-259528
2012-09,324035,40377,28548,7623,126687,245308,8821,17663,1071,3394,353.11,1,137.12,364412,434650,-70238
2012-10,326349,37452,49795,10029,171551,193348,24411,26747,4401,2791,67.32,1,123.2,363801,475881,-112080
2012-11,267260,21107,22747,5853,199379,167801,23097,28358,2097,1895,122.45,0,89.67,288367,447235,-158868
2012-12,498730,45841,37499,11405,119262,50699,22817,7380,4847,2658,71.01,1,144.9,544571,249062,295509
2013-01,481657,16110,32329,5448,184043,89013,18335,31324,1507,2647,366.81,0,118.02,497767,360492,137275
2013-02,327077,32002,25931,6930,86447,183648,20226,36915,4426,2441,153.88,0,143.16,359079,360097,-1018
2013-03,335063,22631,40929,8097,81798,204091,24968,23061,1341,1549,168.62,1,147.49,357694,382944,-25250
2013-04,396563,30288,41095,10801,178847,194549,9058,37865,4855,726,98.13,1,86.61,426851,472215,-45364
2013-05,106440,20752,32044,6431,117010,50224,26417,35928,3073,813,15.72,0,96.59,127192,268054,-140862
2013-06,372537,30577,25514,13950,147740,190410,28563,22288,3517,3159,9.47,0,96.78,403114,428465,-25351
2013-07,333673,49136,39158,8540,174154,65185,18545,7334,4148,854,89.66,0,95.11,382809,312916,69893
2013-08,322507,28098,34019,8177,92976,82421,26621,31074,1185,1495,245.76,1,127.15,350605,275288,75317
2013-09,223147,26114,33213,13388,111565,108920,14108,13899,1906,2709,102.91,1,117.4,249261,295093,-45832
2013-10,107471,35909,39126,8353,110613,232243,6622,20023,582,3857,206.18,1,148.45,143380,416980,-273600
2013-11,399124,28056,25929,12316,84701,131135,24327,32384,2953,532,150.28,0,117.37,427180,310792,116388
2013-12,191154,45320,27863,8643,158240,104111,28826,11599,4506,1205,-101.82,1,138.63,236474,339282,-102808
2014-01,111422,31156,47479,6416,146516,240700,22024,14145,3098,2429,84.78,0,118.59,142578,477280,-334702
2014-02,289982,40250,49099,12441,111341,108499,25225,18490,2955,327,113.05,0,87.93,330232,325095,5137
2014-03,416030,41631,40429,14456,157740,172553,27263,19994,4236,1316,166.39,1,97.01,457661,432435,25226
2014-04,352389,43925,41595,13020,97601,242480,23840,11984,3301,3121,132.1,1,115.11,396314,430520,-34206
2014-05,144635,44079,49517,14585,183030,164123,18221,12937,2846,3723,48.31,0,145.94,188714,442413,-253699
2014-06,459703,46872,21084,10347,152850,207368,18971,23215,2712,3165,174.94,0,125.06,506575,433835,72740
2014-07,352802,38542,33568,5264,140326,184299,24535,26588,3317,2833,69.31,0,107.95,391344,414580,-23236
2014-08,290966,14861,23483,9423,129607,224363,29339,31179,708,717,339.87,1,94.86,305827,447394,-141567
2014-09,159119,25480,34833,11227,184057,168598,17663,9967,1689,2015,174.15,1,112.81,184599,426345,-241746
2014-10,268973,42269,27821,10233,141122,114257,29463,31254,3373,1695,32.15,1,144.8,311242,354150,-42908
2014-11,249108,13356,39314,14089,143647,201368,21798,37644,3618,2010,72.9,0,81.61,262464,457860,-195396
2014-12,223472,15802,49033,8531,117582,108595,19952,23307,1856,3918,131.08,1,147.36,239274,327000,-87726
2015-01,202785,44348,28869,8582,187863,115462,25105,16010,670,3039,293.44,0,82.46,247133,381891,-134758
2015-02,278716,10750,31610,6078,191947,162971,6789,10582,530,1484,581.21,0,95.5,289466,409977,-120511
2015-03,190343,21752,25772,6168,141519,223842,14466,26700,3903,3812,51.39,1,142.84,212095,438467,-226372
2015-04,272920,13113,34778,12244,143740,104681,22046,38330,896,2542,234.5,1,89.99,286033,355819,-69786
2015-05,285410,38325,48091,12297,89293,171356,12813,7908,4095,3348,134.7,0,138.85,323735,341758,-18023
2015-06,181849,38844,40647,7859,110173,195341,15867,27039,4489,1040,-67.61,0,87.5,220693,396926,-176233
2015-07,287521,10600,46618,6347,175881,50080,19384,35721,2123,3179,162.36,0,105.21,298121,334031,-35910
2015-08,254454,32273,22578,6162,93547,226898,20131,9399,1840,3732,180.89,1,82.4,286727,378715,-91988
2015-09,405375,46146,42995,10560,178816,156440,16243,5996,4714,2504,136.01,1,91.79,451521,411050,40471
2015-10,327625,37925,22000,12961,168346,131249,26235,34163,4361,3727,52.2,1,125.63,365550,394954,-29404
2015-11,257305,21565,30276,11721,197287,138348,28689,15299,3914,2582,-63.4,0,83.17,278870,421620,-142750
2015-12,261626,37164,43761,9525,142902,99583,16128,14489,1345,507,176.17,1,127.61,298790,326388,-27598
2016-01,214792,27088,49250,10802,110196,152423,20475,21719,4439,2023,82.03,0,122.83,241880,364865,-122985
2016-02,389115,20821,41162,6805,80891,126662,23032,25930,4149,1653,165.65,0,121.07,409936,304482,105454
2016-03,423870,39703,27108,5292,173363,120244,23963,13258,1125,1800,418.93,1,130.03,463573,363228,100345
2016-04,433462,32769,28997,13739,107552,225311,8402,33505,1306,2970,305.09,1,95.05,466231,417506,48725
2016-05,258092,25665,21275,12451,89531,101383,15243,29731,4119,1799,69.07,0,124.26,283757,269614,14143
2016-06,435074,46340,38500,5844,171707,172980,29883,13478,4514,867,140.07,0,135.08,481414,432392,49022
2016-07,228131,25331,42317,7120,138392,102305,8739,25100,2012,3127,80.69,0,136.26,253462,323973,-70511
2016-08,201871,43347,28478,12518,85343,141912,6449,31748,550,2466,376.21,1,106.74,245218,306448,-61230
2016-09,242693,29147,33006,13278,180557,150965,11905,33832,2922,1485,142.12,1,84.53,271840,423543,-151703
2016-10,485718,36877,44942,6407,197062,211703,13360,15753,4901,2506,-41.87,1,128.93,522595,489227,33368
2016-11,211388,36464,23752,13458,163355,235015,16351,23092,3567,2063,5.66,0,115.94,247852,475023,-227171
2016-12,269485,15215,20588,6611,117312,239326,29036,38161,2758,3008,171.7,1,104.74,284700,451034,-166334
2017-01,119515,39778,33249,5064,194353,104532,8529,30602,4883,424,60.46,0,89.64,159293,376329,-217036
2017-02,406344,45347,23870,5756,128276,68589,21650,16928,2090,3728,182.93,0,92.48,451691,265069,186622
2017-03,258675,49278,30770,13066,92003,62513,11021,26348,4848,1937,55.93,1,128.47,307953,235721,72232
2017-04,117582,34206,49446,12480,101559,69551,22377,22536,3122,3003,-38.91,1,120.37,151788,277949,-126161
2017-05,280859,20200,40144,7763,96022,177550,8166,19564,1205,1825,198.87,0,122.28,301059,349209,-48150
2017-06,344748,32603,39958,6052,177034,118042,23604,12150,1128,892,326.71,0,111.67,377351,376840,511
2017-07,117049,37718,42444,14226,111953,220055,11423,37083,2024,2249,8.44,0,99.49,154767,437184,-282417
2017-08,283621,36355,42675,11818,167745,147340,23659,25043,2535,1914,4.95,1,120.79,319976,418280,-98304
2017-09,143026,36549,25581,6857,80131,78567,10864,14995,2130,1889,184.44,1,105.98,179575,216995,-37420
2017-10,424427,34244,45258,11988,168103,97252,9068,24002,4554,3978,129.7,1,113.06,458671,355671,103000
2017-11,335678,21830,45520,8766,128725,191379,7716,35912,4778,2643,149.34,0,149.76,357508,418018,-60510
2017-12,197724,32919,34435,5704,179703,164478,16258,26417,1012,1228,196.19,1,99.13,230643,426995,-196352
2018-01,175656,15353,23539,8970,151884,127338,7127,8377,2466,1560,34.4,0,107.26,191009,327235,-136226
2018-02,277892,33088,32618,11076,191349,94335,5122,23045,3814,2445,133.91,0,139.81,310980,357545,-46565
2018-03,375104,33301,23220,11763,179227,158978,18509,12569,4187,1307,139.56,1,141.48,408405,404266,4139
2018-04,363826,43289,26041,9076,123456,120483,22596,33774,2504,2107,114.24,1,114.39,407115,335426,71689
2018-05,445468,19010,48326,5672,109002,105703,9320,21008,3975,2306,19.42,0,117.4,464478,299031,165447
2018-06,481238,22017,31467,6864,150638,216085,8280,22837,1531,1879,300.82,0,81.81,503255,436171,67084
2018-07,150639,43446,35320,12828,91613,218008,5053,13435,4860,1616,18.68,0,124.51,194085,376257,-182172
2018-08,217488,24796,45042,8819,107749,87776,14037,29840,642,948,324.09,1,135.38,242284,293263,-50979
2018-09,285399,23978,49886,5400,101477,209951,16945,22262,1680,1729,236.5,1,126.23,309377,405921,-96544
2018-10,275518,43704,40255,9337,89018,213010,14632,29571,3529,1325,20.29,1,84.64,319222,395823,-76601
2018-11,212604,26611,25707,14420,108696,176545,23341,23762,3019,961,136.44,0,138.46,239215,372471,-133256
2018-12,162786,20267,28221,10015,144094,237304,10224,13597,645,2050,212.84,1,129.81,183053,443455,-260402
2019-01,167935,17527,45587,5653,88265,243677,27459,23995,1528,3504,146.99,0,87.22,185462,434636,-249174
2019-02,208382,19171,28091,10911,86062,235086,25125,29533,1019,2660,203.51,0,143.68,227553,414808,-187255
2019-03,410456,20835,20112,12937,173675,202034,12005,27874,969,1691,441.3,1,84.05,431291,448637,-17346
2019-04,474136,29876,49950,13679,170308,82111,25737,6488,971,1194,544.18,1,102.62,504012,348273,155739
2019-05,349542,48028,28924,13979,123082,202527,6338,18842,2425,2659,163.58,0,98.3,397570,393692,3878
2019-06,250369,26461,39083,10495,157257,190598,17761,25738,996,635,272.98,0,126.44,276830,440932,-164102
2019-07,417628,11570,49304,11804,128321,194072,5480,27734,3545,2244,102.29,0,125.92,429198,416715,12483
2019-08,377699,22711,45300,14829,176025,136259,12644,29946,4613,2000,-1.44,1,106.54,400410,415003,-14593
2019-09,372730,23028,41679,11907,190622,170145,17543,17445,1168,1087,328.02,1,104.14,395758,449341,-53583
2019-10,333777,32209,26910,11417,116917,239331,24438,38523,4495,868,148.3,1,118.44,365986,457536,-91550
2019-11,475806,29973,22020,9692,142865,140965,8865,32545,4570,798,70.61,0,143.19,505779,356952,148827
2019-12,298235,46885,22738,7734,156439,247277,9074,20180,1834,2375,102.66,1,86.8,345120,463442,-118322
2020-01,334423,29694,23595,11852,95579,169736,5227,23570,866,1508,381.42,0,113.43,364117,329559,34558
2020-02,368706,27730,34591,7706,187453,50392,14363,16975,2903,1340,211.95,0,97.03,396436,311480,84956
2020-03,305718,31345,28599,7265,189311,135757,18505,32069,1274,2749,327.61,1,147.45,337063,411506,-74443
2020-04,248799,19476,20101,9608,183274,168918,25844,23511,1812,1771,168.84,1,93.3,268275,431256,-162981
2020-05,181588,46896,47373,5476,122004,193226,24655,38160,2450,3309,92.05,0,134.28,228484,430894,-202410
2020-06,198123,36874,31694,13376,150088,192188,19262,20085,3188,1587,29.36,0,123.53,234997,426693,-191696
2020-07,473954,35964,24343,11318,181894,149750,7407,21139,3847,2735,125.48,0,111.54,509918,395851,114067
2020-08,486544,25264,49716,11167,196748,89741,22349,35225,3112,1217,265.9,1,138.54,511808,404946,106862
2020-09,327703,49438,31618,13596,195435,105474,12466,23002,3156,3590,156.25,1,82.72,377141,381591,-4450
2020-10,444259,21321,39162,8942,81322,154341,28225,29797,3872,3103,129.41,1,149.57,465580,341789,123791
2020-11,330526,11703,26576,8480,128471,98174,23305,28143,4753,3163,95.61,0,111.55,342229,313149,29080
2020-12,233200,34906,23018,9380,170399,66279,9856,32687,4977,1203,36.32,1,119.35,268106,311619,-43513
2021-01,412826,42299,20952,12167,195099,91826,13024,38785,4819,975,97.67,0,94.57,455125,371853,83272
2021-02,303434,22862,39832,9088,92182,142525,24403,7130,1894,887,167.84,0,113.93,326296,315160,11136
2021-03,275221,31208,48704,6884,143877,103940,20489,8850,975,2041,230.43,1,88.64,306429,332744,-26315
2021-04,430265,46672,22127,12294,166938,100728,7156,19002,4954,2365,1.97,1,140.38,476937,328245,148692
2021-05,494358,33520,20526,11834,109775,216118,24397,9801,2668,2589,280.77,0,86.91,527878,392451,135427
2021-06,444482,13379,34314,13972,112038,110883,22340,20613,1110,1033,348.36,0,132.4,457861,314160,143701
2021-07,242657,20578,43017,7588,125315,81430,27264,33500,1659,1519,213.88,0,108.29,263235,318114,-54879
2021-08,290487,35680,20119,9680,190910,65998,25201,29215,2937,3540,102.09,1,106.83,326167,341123,-14956
2021-09,432557,37804,26132,12739,132242,153127,27722,17202,2345,3910,173.65,1,134.41,470361,369164,101197
2021-10,235851,40698,23013,13748,184184,179169,29024,33083,1244,355,184.56,1,110.95,276549,462221,-185672
2021-11,129772,46209,29846,14149,92043,239048,11698,33135,4536,2777,118.01,0,123.82,175981,419919,-243938
2021-12,449781,24828,47803,11198,92531,113911,28146,7886,990,2523,444.28,1,89.09,474609,301475,173134
2022-01,417836,16043,33255,7455,163365,227320,27007,27795,3396,1877,1.9,0,93.18,433879,486197,-52318
2022-02,255537,32706,39934,11693,119581,137494,15321,13229,3373,661,93.99,0,96.99,288243,337252,-49009
2022-03,291344,10098,39474,11131,121251,144343,19429,13464,885,1427,317.18,1,138.12,301442,349092,-47650
2022-04,305048,40684,30595,12811,121105,50195,26592,23188,996,2430,266.76,1,106.13,345732,264486,81246
2022-05,393351,10531,38969,11059,189555,160538,9324,30894,3132,3281,102.95,0,142.83,403882,440339,-36457
2022-06,151791,11386,20980,8282,149074,80156,27376,13029,4335,2686,23.82,0,89.19,163177,298897,-135720
2022-07,296934,48178,25635,12631,148226,104807,13006,25843,3346,1701,46.79,0,87.15,345112,330148,14964
2022-08,362352,21463,43507,8687,199728,232481,28689,30755,3103,2404,222.39,1,83.71,383815,543847,-160032
2022-09,250025,30208,22061,14267,87879,62298,6056,32812,4294,1025,108.07,1,99.06,280233,225373,54860
2022-10,424532,13844,25814,5439,106301,199767,13867,9463,2800,379,211.86,1,81.25,438376,360651,77725
2022-11,372862,38752,41140,10736,145427,168674,13805,24568,1390,2522,219.36,0,147.29,411614,404350,7264
2022-12,437711,11341,48259,11559,101586,192038,11223,38628,1544,3325,295.15,1,125.89,449052,403293,45759
2023-01,363683,21259,46589,12915,182964,127339,24656,18017,1659,2299,203.8,0,140.98,384942,412480,-27538
2023-02,289354,26751,31356,13506,167499,72339,25215,12398,2573,691,159.88,0,88.0,316105,322313,-6208
2023-03,215781,21559,31237,12594,171348,140281,8080,34806,4892,661,78.37,1,123.98,237340,398346,-161006
2023-04,272857,36327,34683,9319,149435,191581,10957,30296,2917,2630,67.56,1,125.57,309184,426271,-117087
2023-05,446371,34534,28658,13781,197021,171554,20409,17418,4065,2715,108.75,0,117.57,480905,448841,32064
2023-06,485341,27660,31269,5446,196056,69174,12285,10985,4111,1787,121.84,0,136.11,513001,325215,187786
2023-07,285786,19435,29248,6787,98467,127097,27749,29272,4744,1821,35.39,0,131.66,305221,318620,-13399
2023-08,130984,32640,21913,5133,107825,196687,13886,29324,2753,2638,-5.28,1,83.63,163624,374768,-211144
2023-09,445009,20914,20747,9598,161236,245825,25633,30192,3522,1413,156.36,1,100.02,465923,493231,-27308
2023-10,270171,26595,20457,6546,163247,204692,21558,23564,742,1194,372.6,1,111.58,296766,440064,-143298
2023-11,156838,21591,27949,13349,141682,154078,15648,23007,3256,3048,-3.72,0,103.3,178429,375713,-197284
2023-12,288506,38057,36046,7048,193042,154145,16832,14576,4721,1212,39.95,1,88.51,326563,421689,-95126
2024-01,119889,16141,40909,12445,144050,190335,28672,5949,794,2987,117.13,0,139.58,136030,422360,-286330
2024-02,157620,12585,46632,13313,152841,120870,5095,37071,2609,3153,126.24,0,129.99,170205,375822,-205617
2024-03,146006,40690,43482,13824,187762,244500,21287,14904,749,1612,251.03,1,144.22,186696,525759,-339063
2024-04,127015,37785,30855,12892,186608,156458,15701,32550,2893,3969,8.67,1,147.28,164800,435064,-270264
2024-05,301255,25257,41511,6592,149755,57732,10546,34124,4753,2702,31.83,0,102.22,326512,300260,26252
2024-06,281778,22906,22544,9712,117081,220605,17046,25196,3756,3152,49.44,0,117.15,304684,412184,-107500
2024-07,477833,38096,25972,13890,119976,76250,20630,34266,3432,2491,112.19,0,116.62,515929,290984,224945
2024-08,353969,32328,26225,14932,92131,108467,28582,13411,3298,463,-0.67,1,124.06,386297,283748,102549
2024-09,402528,36505,33539,14841,147382,66468,22710,9248,623,1704,681.84,1,129.93,439033,294188,144845
2024-10,460432,35429,27546,13218,173374,218668,27155,11450,2666,3377,205.7,1,102.32,495861,471411,24450
2024-11,170984,22975,31564,8543,140062,203032,21599,17784,4660,2209,3.79,0,146.36,193959,422584,-228625
2024-12,147680,25629,39558,6695,99963,249575,5329,18159,3674,3260,42.12,1,144.24,173309,419279,-245970
2025-01,129229,41852,22613,6817,104642,188007,10356,9290,2895,722,69.85,0,134.88,171081,341725,-170644
2025-02,468864,12187,47766,6187,86003,51792,8471,30393,3010,549,181.11,0,140.92,481051,230612,250439
2025-03,478386,13611,36534,13961,103315,114975,21959,39050,2007,451,220.5,1,125.82,491997,329794,162203
2025-04,421878,11016,34073,10526,185931,126041,24748,26571,4253,1878,66.66,1,119.7,432894,407890,25004
2025-05,137835,33825,44334,13507,188563,231162,18987,33559,2140,1742,55.7,0,127.55,171660,530112,-358452
2025-06,468698,32537,32481,6953,161827,186823,6081,21806,902,365,533.74,0,136.95,501235,415971,85264
2025-07,342610,30451,22126,5678,103776,184132,21549,22073,2515,708,237.51,0,136.98,373061,359334,13727
2025-08,477100,37354,37178,14333,125579,227869,25470,8464,3850,1533,154.77,1,135.39,514454,438893,75561
2025-09,307685,17733,43721,7977,111166,215500,29301,19258,3308,1250,37.43,1,113.15,325418,426923,-101505
2025-10,313618,28235,24530,14485,196477,177582,17964,17297,1919,3426,224.57,1,129.39,341853,448335,-106482
2025-11,460229,22315,26151,13048,108444,189729,9152,13538,2885,3456,213.39,0,90.75,482544,360062,122482
2025-12,449616,29365,30133,5022,89531,163217,12765,32318,4768,751,116.92,1,134.91,478981,332986,145995
2026-01,135667,20289,31936,13275,80230,240012,14728,7142,2009,3210,142.4,0,115.78,155956,387323,-231367
2026-02,236212,36451,30900,10176,89611,66988,9719,39239,4432,2215,110.48,0,112.99,272663,246633,26030
2026-03,142077,25415,45833,9630,187629,174068,14331,24631,3567,1844,80.31,1,80.84,167492,456122,-288630
2026-04,349212,18787,41651,14134,134512,106659,9916,15295,4833,2368,41.84,1,98.33,367999,322167,45832
2026-05,341433,46214,29272,11004,136339,192886,8594,36334,3936,2251,71.16,0,91.45,387647,414429,-26782
2026-06,424206,10986,22140,12346,90899,71786,8562,29331,1847,1675,361.94,0,109.71,435192,235064,200128
2026-07,154486,42894,33333,8284,173453,78032,24975,10123,2130,1407,133.03,0,90.2,197380,328200,-130820
2026-08,337074,19647,25021,10273,199762,173006,15555,14825,1754,1020,282.28,1,102.06,356721,438442,-81721
2026-09,389796,18707,25197,9676,191709,138261,5164,6329,1362,3132,241.3,1,103.56,408503,376336,32167
2026-10,375969,34079,36932,6864,80165,173588,20244,28797,4621,3136,131.52,1,141.59,410048,346590,63458
2026-11,450147,34212,41371,10936,176975,198771,28615,19145,1664,3802,249.24,0,96.79,484359,475813,8546
2026-12,396718,22973,24907,14632,102032,98012,9798,17629,2486,2731,185.86,1,123.22,419691,267010,152681
2027-01,421205,46710,32905,7396,100508,221929,17622,29197,3952,644,48.11,0,105.75,467915,409557,58358
2027-02,193615,38682,23117,9997,95000,63478,12762,11248,4633,2333,1.46,0,89.45,232297,215602,16695
2027-03,286785,17019,30924,10774,178102,124964,20814,9869,4259,2228,-33.11,1,121.32,303804,375447,-71643
2027-04,233461,33677,36277,13195,155489,180222,27040,14948,3800,958,-39.65,1,96.77,267138,427171,-160033
2027-05,318277,18160,31332,13218,89489,165376,26971,21282,3720,3267,139.51,0,116.64,336437,347668,-11231
2027-06,201071,21302,29884,11260,98363,246147,12846,13581,4580,2507,128.02,0,142.77,222373,412081,-189708
2027-07,333297,25934,27953,13833,124493,190719,14116,16249,3852,3724,85.88,0,141.51,359231,387363,-28132
2027-08,458889,39695,40407,8466,82661,180876,14318,31700,580,1465,837.96,1,96.41,498584,358428,140156
2027-09,266966,14506,24356,14449,173245,91003,29953,17961,3134,530,71.94,1,132.36,281472,350967,-69495
2027-10,283711,10187,31750,12327,137555,170020,22537,35248,2453,1382,121.71,1,127.34,293898,409437,-115539
2027-11,380999,43745,49463,12808,198018,119284,15811,31713,2790,3944,187.24,0,81.4,424744,427097,-2353
2027-12,183440,48922,35627,11140,98042,158006,6258,22045,2754,591,108.29,1,145.67,232362,331118,-98756
2028-01,372005,18902,24185,14946,162150,220135,14929,32518,1633,1533,262.64,0,99.72,390907,468863,-77956
2028-02,407164,42083,28221,10627,166991,149173,24871,34917,1995,1063,249.49,0,93.65,449247,414800,34447
2028-03,431188,16706,30394,13434,109935,144237,28149,31762,2394,3901,210.49,1,149.54,447894,357911,89983
2028-04,162552,43137,23115,8118,156634,102315,8064,22251,1160,2462,195.64,1,148.08,205689,320497,-114808
2028-05,295515,49654,31024,7660,84595,172666,28186,32835,3659,2908,68.1,0,121.46,345169,356966,-11797
2028-06,155029,27109,30227,11691,166409,150397,8609,14584,1738,2015,81.75,0,136.58,182138,381917,-199779
2028-07,104856,45132,42166,7352,147357,190429,7728,23294,2610,3566,74.86,0,148.5,149988,418326,-268338
2028-08,317726,23094,42382,9194,152493,118421,6284,12088,559,1921,612.87,1,109.49,340820,340862,-42
2028-09,298138,12519,26182,10196,87186,121205,12072,9033,3062,2285,29.67,1,92.34,310657,265874,44783
2028-10,161439,25068,33217,8563,171779,193074,26121,38073,1772,2786,89.76,1,126.33,186507,470827,-284320
2028-11,297819,41559,43206,12055,135085,118371,13693,24928,2336,2524,101.56,0,98.42,339378,347338,-7960
2028-12,393287,21623,28150,10721,157551,164351,13936,17023,2638,3524,197.9,1,100.52,414910,391732,23178
2029-01,187056,18043,31284,9774,164716,112657,5336,10977,982,2356,151.93,0,134.06,205099,334744,-129645
2029-02,426341,38870,47014,7553,94061,173198,14640,5971,1387,1175,352.78,0,96.12,465211,342437,122774
2029-03,458567,28919,24349,5174,89341,76421,25882,27693,3253,664,110.79,1,105.26,487486,248860,238626
2029-04,415903,33229,37756,8165,155467,129742,6411,36581,1223,962,266.93,1,131.76,449132,374122,75010
2029-05,233183,42105,20600,14425,81054,158486,27820,25811,4255,3376,-17.54,0,130.93,275288,328196,-52908
2029-06,162967,12694,28084,8148,125995,222249,27962,18039,4722,2042,73.18,0,132.94,175661,430477,-254816
2029-07,166588,31526,22191,9238,114208,243728,26294,5298,1348,733,186.26,0,97.26,198114,420957,-222843
2029-08,487034,36596,43616,10243,83498,77277,15271,27201,4462,2557,92.44,1,109.64,523630,257106,266524
2029-09,112267,46838,46677,11996,115005,107230,27979,14595,2549,3111,36.28,1,125.79,159105,323482,-164377
2029-10,141472,36268,22980,14087,89426,212163,19757,30080,751,1650,231.07,1,125.54,177740,388493,-210753
2029-11,256056,27142,38867,12488,175904,134248,23427,32931,2184,841,107.46,0,132.88,283198,417865,-134667
2029-12,496545,15974,20586,11396,122668,125300,15315,39140,3934,890,90.56,1,81.22,512519,334405,178114
2030-01,231289,14640,44458,10516,172582,118820,7715,30101,3023,1933,27.02,0,137.97,245929,384192,-138263
2030-02,126784,14077,26160,11977,108876,178277,18306,36629,1484,2411,167.32,0,145.14,140861,380225,-239364
2030-03,421473,41154,44316,8335,103929,195394,24910,9119,2151,330,138.56,1,144.8,462627,386003,76624
2030-04,337160,17083,24146,11325,180673,215591,16325,15697,580,1160,601.72,1,94.0,354243,463757,-109514
2030-05,350252,40208,30774,5304,118620,213752,9527,9859,4336,1576,138.8,0,143.79,390460,387836,2624
2030-06,339505,36248,23439,9037,170082,85059,11138,19303,2708,859,136.69,0,120.01,375753,318058,57695
2030-07,238722,10471,26668,10762,93037,197294,11082,29518,4057,3514,42.11,0,109.91,249193,368361,-119168
2030-08,346220,42187,25665,6947,101641,134765,23223,21523,2424,533,286.68,1,112.99,388407,313764,74643
2030-09,379954,42935,29746,6577,174361,241410,19417,7599,2219,3677,135.09,1,146.32,422889,479110,-56221
2030-10,232077,28902,32252,9140,80562,237558,15831,30575,4837,2156,61.61,1,114.4,260979,405918,-144939
2030-11,464272,28664,37192,10056,125771,74487,11847,34294,1507,3786,328.06,0,135.34,492936,293647,199289
